ELEMENTO,CARA,FORMATO,TIPO,DEPARTAMENTO,DISTRITO,DIRECCION_COMERCIAL,TRANSITO,REFERENCIA,ANCHO,ALTO,resolution_width,resolution_height,LATITUD,LONGITUD,OBSERVACION,AUDIENCIA,photo_url,slot_duration_seconds
LCE-003,A,Pantalla Digital,DIGITAL,Lima,Lince,Av. Arequipa Cdra. 18 cruce con Jr. Manuel Candamo ,Hacia Circuito Mágico del Agua y Cercado de Lima.,Esquina de Clínica San Clemente cerca a Centro Comercial Arenales.,"10,00","4,00",1280,720,"-12,0825099","-77,0347178","Elemento por instalar, en trámite de medidor, Sera Elemento tradicional",0,,7
LCE-004,A,Pantalla Digital,DIGITAL,Lima,Lince,Av. Arequipa cruce con Jr. Risso,Hacia Circuito Mágico del Agua y Cercado de Lima.,"Costado del Centro Comercial Risso y Restaurante La Leña, en la esquina se encuentra Scotiabank","10,80","4,80",1280,720,"-12,0855833","-77,0340556","Elemento por instalar, en trámite de medidor",0,,7
LMNA-001,B,Pantalla Digital,DIGITAL,Lima,La Molina,Av. Raúl Ferrero 1496,Hacia Av. Los Fresnos con dirección a Av. La Molina.,Próximo a Molina Plaza.,"12,00","6,00",1280,720,"-12,0917747","-76,9536889",,5.275.689,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-001%20B.webp,7
LMNA-005,A,Pantalla Digital,DIGITAL,Lima,La Molina,AV. Raul Ferrero CDRA 12,Hacia Av. Los Fresnos.,Frente a La Molina Plaza Wong Grifo Repsol y Plaza Vea.,"10,24","4,80",1280,720,"-12,0907889","-76,9510412",,5.124.201,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-005%20A.webp,7
LMNA-019,B,Pantalla Digital,DIGITAL,Lima,La Molina,Av. Javier Prado Este Con Av. Los Frutales,Hacia Av. La Molina con dirección al Estadio Monumental de Universitario de Deportes,Frente a Centro Comercial La Fontana.,"12,00","6,00",1280,720,"-12,0755517","-76,9638061",Pantalla exclusica para LEXUS TOYOTA,7.241.803,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-019%20B.webp,7
LMNA-020,A,Pantalla Digital,DIGITAL,Lima,La Molina,Óvalo Monitor Con Av. Las Palmeras,Vía de unión entre Av. Javier Prado Este Av. Las Palmeras y Club Golf los Incas,Frente a Óvalo Monitor,"12,00","6,00",1280,720,"-12,0828360","-76,9701614",Se visualiza entrando al óvalo y comercial indica que se visualiza también desde el puente ,10.918.543,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-020%20A.webp,7
LMNA-024,U,Pantalla Digital,DIGITAL,Lima,La Molina,Dirección comercial: Av. Ricardo Elías Aparicio cruce con Av. La Molina.,Hacia Country Club La Planicie de La Molina.,Frente a Molicentro y Escuela de Equitación.,"11,52","5,76",1280,720,"-12,0818193","-76,9282830",En trámite de medidor,0,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/LMNA-024%20U.webp,7
MIR-004,A,Pantalla Digital,DIGITAL,Lima,Miraflores,Av. Paseo de la República Cdra. 39,"Hacia Av. Domingo Orué, distrito de Surquillo, Av. Angamos Este, Siete Sopas Surquillo y distrito de Barranco.","Centro dermatológico Axalud, cruce con la Av. José María Eguren, ","12,00","6,00",1280,720,"-12,1048170","-77,0277950",,12.950.876,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-004%20A.webp,7
MIR-004,B,Pantalla Digital,DIGITAL,Lima,Miraflores,Av. Paseo de la República Cdra. 39,"Hacia la Av. Aramburú, Carnaval y Moreyra, Av. Javier Prado, Estadio Nacional, Circuito Mágico del Agua y distrito de la Victoria.","Centro dermatológico Axalud, cruce con la Av. José María Eguren, ","12,00","6,00",1280,720,"-12,1048170","-77,0277950",,12.125.739,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-004%20B.webp,7
MIR-005,A,Pantalla Digital,DIGITAL,Lima,Miraflores,Av. Paseo de la República Cdra. 40,"Hacia la Av. Domingo Orué, distrito de Surquillo, Av. Angamos Este, Siete Sopas Surquillo y distrito de Barranco.","Cruce con Av. Sevilla, cerca de Centro dermatológico Axalud.","11,60","5,80",1280,720,"-12,1062320","-77,0276410",,6.657.990,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-005%20A.webp,7
MIR-005,B,Pantalla Digital,DIGITAL,Lima,Miraflores,Av. Paseo de la República Cdra. 40,"Hacia la Av. Aramburú, Carnaval y Moreyra, Av. Javier Prado, Estadio Nacional, Circuito Mágico del Agua y distrito de la Victoria.","Cruce con Av. Sevilla, cerca de Centro dermatológico Axalud.","11,52","5,76",1280,720,"-12,1062320","-77,0276410",,6.620.147,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-005%20B.webp,7
