ELEMENTO,CARA,FORMATO,TIPO,PROVEEDOR,DEPARTAMENTO,DISTRITO,ZONA,DIRECCION_COMERCIAL,TRANSITO,REFERENCIA,ANCHO,ALTO,resolution_width,resolution_height,AREA,LATITUD,LONGITUD,OBSERVACION,AUDIENCIA,photo_url
SUR-036,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surco,LIMA DIGITAL,Av. Javier Prado Frente al Jockey Plaza,Hacia la Molina,"Zona altamente comercial, vehicular y peatonalFrente al Jockey Plaza","12,00","6,00",1280,720,"72,00","-12,0842500","-76,9780833",,10.249.346,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SUR-036%20B.webp
SUR-037,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surco,LIMA DIGITAL,Av. El Polo cruce con Av. Raul Ferrero,"Hacia la Av. El Derby, Centro Comercial el Polo y Embajada de los Estados Unidos","Colegio Weberbauer, frente a Pardos Chicken, Grifo Primax, próximo al ULIMA y Los Inkas Golf Club","12,00","6,00",1280,720,"72,00","-12,0939722","-76,9674444",Restricciones por Instituto educativo Ley Nº 28681,8.850.141,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SUR-037%20A.webp
SUR-042,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Surco,LIMA DIGITAL,Av. Javier Prado Este cruce con Av. Circunvalación,"Hacia Jockey Plaza, Universidad de Lima y La Molina.","Puente Trébol, cerca a Jockey Plaza. ","12,00","6,00",1280,720,"72,00","-12,0847220","-76,9836670",,8.587.770,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SUR-042%20B.webp
TRU-046,U,Pantalla Digital,DIGITAL,JMT OUTDOORS,Trujillo,-,PROVINCIA DIGITAL,Av. America Oeste,Frente a Saga Falabella,Frente al Mall Plaza,"12,00","6,00",1280,720,"72,00","-8,10155000","-79,0442960",,2.620.431,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/TRU-046%20U.webp
TRU-054,U,Pantalla Digital,DIGITAL,JMT OUTDOORS,Trujillo,-,PROVINCIA DIGITAL,Óvalo Larco,Hacia el Real Plaza,"Tienda Glorisa y Óvalo Larco, Universidad Cesar Vallejo y tiendas por departamento. ","10,24","4,80",1280,720,"49,15","-8,12480640","-79,0387401",NO vender a empresas competencia de CELIMA y TREBOL ,1.689.986,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/TRU-054%20U.webp
TRU-056,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Trujillo,-,PROVINCIA DIGITAL,Av. César Vallejo cruce con Fátima,Hacia el Av. El Golf y Panamericana Nte.,Frente al Real Plaza Trujillo y cerca a la Universidad Privada Antenor Orrego (UPAO).,"10,24","4,80",1280,720,"49,15","-8,13197200","-79,0337220","No vender a proveedores de servicio público de telecomunicaciones como Telefónica, Entel, Bitel, etc",954.309,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/TRU-056%20A.webp
VMT-017,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Villa Maria Del Triunfo,LIMA DIGITAL,Av. Pachacútec Con Av. 26 De Noviembre Frente Al C.C. Real Plaza,Hacia San Juan de Miraflores Surco,Frente al C.C Real Plaza Oeschle Promart Cineplanet Interbank,"8,80","4,50",1280,655,"39,60","-12,1801295","-76,9434236",,7.093.534,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/VMT-017%20A.webp
MIR-003,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Miraflores,LIMA DIGITAL,Av. Alfredo Benavides Cdra. 30 - Óvalo Higuereta,"Hacia Wong Panamá, Paseo de la República, Instituto ISIL Parque Kennedy.","Ovalo Higuereta, frente a Plaza Vea y Estación Cabitos.","11,52","5,76",1280,720,"66,36","-12,1289530","-77,0019340",,7.319.614,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-003%20A.webp
HUA-018,U,Pantalla Digital,DIGITAL,JMT OUTDOORS,Huancayo,-,PROVINCIA DIGITAL,Av. Ferrocarril Cdra. 2,"En dirección a C.C. Real Plaza Huancayo, Estadio Huancayo y Av. Coronel Leoncio Prado.",Frente a Open Plaza Huancayo y Terminal Terrestre Los Andes.,"10,24","4,80",1280,720,"49,15","-12,0620490","-75,2084040",,6.230.319,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/HUA-018%20U.webp
SIN-011,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,San Isidro,LIMA DIGITAL,Av. Javier Prado cruce con Av. Nicolás Arriola,"Hacia San Isidro, La Positiva, Clínica Javier Prado, La Curacao y Av. Arequipa, ",Cerca a Cruz del Sur y grifo Repsol; y frente a Oftalmo Salud,"11,52","5,76",1280,720,"66,36","-12,0898890","-77,0174170",,10.093.667,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-011%20A.webp
MIR-016,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Miraflores,LIMA DIGITAL,Av. Angamos Cdra. 4 cruce con Av. Paseo de la República,"Hacia la Av. Arequipa, ICPNA Miraflores y Circuito de Playas.","Al costado de Repsol, Rodizio y Estación Metropolitano Angamos.","11,52","5,76",1280,720,"66,36","-12,1136944","-77,0265833","Por instalar, sin punto de luz, sera Pantalla LED",14.853.990,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-016%20A.webp
CAL-031,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Callao,Callao,LIMA DIGITAL,Av. Morales Duarez cruce con Calle Madre de Dios,Hacia Av. Elmer Faucett y Cercado de Lima., Frente a nuevo ingreso del Aeropuerto Jorge Chavez.,"11,60","5,40",1280,720,"62,64",-,-,,1.757.229,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-031%20B.webp
MIR-006,U,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Miraflores,LIMA DIGITAL,Av. Santa Cruz N° 779 - Óvalo Gutierrez,"Costado de Wong del Ovalo Gutiérrez, hacia Smart Fit Santa Cruz, tránsito también hacia Tottus de Comandante Espinar y Av. José Pardo.",Ovalo Gutiérrez.,"11,52","5,76",1280,720,"66,36","-12,1104478","-77,0366096",,-,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MIR-006%20U.webp
